EW21 CC22,Buona Vista,波那维斯达,புவன விஸ்தா,12 March 1988,North Buona Vista,BNV,Queenstown,Circle Line ― Buona Vista Ghim Moh
EW22,Dover,杜弗,டோவெர்,18 October 2001,Polytechnic,DVR,Queenstown,—
EW23,Clementi,金文泰,கிளிமெண்டி,12 March 1988,Clementi,CLE,Clementi,Clementi
EW24 NS1,Jurong East,裕廊东,ஜூரோங் கிழக்கு,5 November 1988,"Jurong, Jurong Town",JUR,Jurong East,North South Line ― Jurong East
EW25,Chinese Garden,裕华园,சீனத் தோட்டம்,5 November 1988,Jurong Lake,CNG,Jurong East,—
EW26,Lakeside,湖畔,ஏரிக்கரை,5 November 1988,Corporation,LKS,Jurong West,—
EW27,Boon Lay,文礼,பூன் லே,6 July 1990,Jurong West,BNL,Jurong West,Boon Lay
EW28,Pioneer,先驱,பயனியர்,28 February 2009,Pioneer,PNR,Jurong West,—
EW29,Joo Koon,裕群,ஜூ கூன்,28 February 2009,Joo Koon,JKN,Pioneer Planning Area,Joo Koon
EW30,Gul Circle,卡尔圈,கல் சர்க்கல்,18 June 2017,Tuas,GCL,"Pioneer Planning Area, Tuas",—
EW31,Tuas Crescent,大士弯,துவாஸ் கிரசண்ட்,18 June 2017,Tuas Crescent,TCR,Tuas,—
EW32,Tuas West Road,大士西路,துவாஸ் வெஸ்ட் ரோடு,18 June 2017,Tuas West,TWR,Tuas,—
EW33,Tuas Link,大士连路,துவாஸ் லிங்க்,18 June 2017,Tuas Link,TLK,Tuas,Tuas ― Tuas Checkpoint
CG1 DT35,Expo,博览,எக்ஸ்போ,10 January 2001,Somapah,XPO,Tampines,Downtown Line
CG2,Changi Airport,樟宜机场,சாங்கி விமானநிலையம்,8 February 2002,Changi Airport,CGA,Changi,Changi Airport ― Changi Airport Terminals 1-4
NE1 CC29,HarbourFront,港湾,துறைமுகம்,20 June 2003,World Trade Centre,HBF,Bukit Merah,Circle Line ― HarbourFront― Sentosa Express VivoCity Singapore Cable Car Mount Faber Line HarbourFront Centre Singapore Cruise Centre
NE3 EW16,Outram Park,欧南园,ஊட்ரம் பார்க்,20 June 2003,Outram Park,OTP,"Bukit Merah, Outram",East West Line ― Kampong Bahru
NE4 DT19,Chinatown,牛车水,சைனாடவுன்,20 June 2003,People's Park,CNT,Outram,Downtown Line
NE5,Clarke Quay,克拉码头,கிளார்க் கீ,20 June 2003,Clarke Quay,CQY,Singapore River Planning Area,—
NE6 NS24 CC1,Dhoby Ghaut,多美歌,டோபி காட்,20 June 2003,Dhoby Ghaut,DBG,Museum Planning Area,North South Line  Circle Line
NE7 DT12,Little India,小印度,லிட்டில் இந்தியா,20 June 2003,Kandang Kerbau,LTI,"Kallang, Rochor",Downtown Line
NE8,Farrer Park,花拉公园,ஃபேரர் பார்க்,20 June 2003,Farrer Park,FRP,"Kallang, Rochor",—
NE9,Boon Keng,文庆,பூன் கெங்,20 June 2003,Boon Keng,BNK,Kallang,—
NE10,Potong Pasir,波东巴西,போத்தோங் பாசிர்,20 June 2003,Sennett,PTP,Toa Payoh,—
NE11,Woodleigh,兀里,உட்லீ,20 June 2011,Woodleigh,WLH,Toa Payoh,Bidadari[16]
NE12 CC13,Serangoon,实龙岗,சிராங்கூன்,20 June 2003,Serangoon,SER,Serangoon,Circle Line ― Serangoon
NE13,Kovan,高文,கோவன்,20 June 2003,Kovan,KVN,Hougang,—
NE14,Hougang,后港,ஹவ்காங்,20 June 2003,Hougang,HGN,Hougang,Hougang Central
NE15,Buangkok,万国,புவாங்கோக்,15 January 2006,Buangkok,BGK,Sengkang,Buangkok[16]
